strain_id,pathotype,pathogenic,stx1,stx2,eae,papC,hlyA,blaKPC
U16,UPEC,1,0,0,1,1,0,0
U02,UPEC,1,0,1,1,1,1,0
C10,commensal,0,0,0,1,0,1,0
E21,EHEC,1,1,1,1,0,0,0
U19,UPEC,1,0,0,0,0,1,0
U11,UPEC,1,0,0,0,0,1,0
U21,UPEC,1,0,0,0,1,1,1
U05,UPEC,1,0,0,0,1,1,0
E18,EHEC,1,1,1,1,0,0,1
C07,commensal,0,1,0,0,0,0,0
E17,EHEC,1,1,0,1,1,1,1
C35,commensal,0,0,0,0,0,0,0
C26,commensal,0,1,1,0,0,0,1
C13,commensal,0,0,0,0,0,0,0
C09,commensal,0,0,0,0,0,1,0
E01,EHEC,1,1,1,1,0,0,0
C05,commensal,0,0,0,0,0,0,1
U03,UPEC,1,0,0,1,0,0,0
E11,EHEC,1,1,1,1,0,0,0
C18,commensal,0,0,0,0,1,0,0
E09,EHEC,1,0,0,1,0,1,0
U15,UPEC,1,0,1,0,1,0,0
E08,EHEC,1,0,1,1,1,0,0
C06,commensal,0,1,1,0,1,1,0
C14,commensal,0,0,0,0,0,0,0
C32,commensal,0,0,0,0,1,0,0
C24,commensal,0,0,0,0,0,0,1
C12,commensal,0,0,0,1,0,0,1
E20,EHEC,1,1,1,1,0,0,0
U09,UPEC,1,0,1,0,1,0,0
C33,commensal,0,0,0,0,0,0,0
E02,EHEC,1,1,1,1,0,0,0
C41,commensal,0,0,0,0,1,0,0
C17,commensal,0,0,0,0,0,1,0
C28,commensal,0,0,0,1,0,1,0
C36,commensal,0,0,0,0,0,0,0
C37,commensal,0,0,0,0,0,0,0
U13,UPEC,1,0,0,0,0,0,0
E06,EHEC,1,1,1,1,0,0,0
U04,UPEC,1,0,0,0,1,1,1
E13,EHEC,1,0,0,1,0,0,1
E14,EHEC,1,1,1,0,0,0,0
U01,UPEC,1,0,0,0,1,0,0
E10,EHEC,1,0,1,1,0,0,1
C19,commensal,0,0,1,0,0,0,0
U14,UPEC,1,0,0,0,1,1,1
E03,EHEC,1,0,1,0,0,0,0
U18,UPEC,1,0,0,0,1,1,0
C29,commensal,0,0,0,0,0,0,1
U07,UPEC,1,0,1,0,0,0,0
U12,UPEC,1,0,0,1,1,0,0
E05,EHEC,1,0,1,1,0,0,0
C31,commensal,0,0,0,1,1,1,0
U10,UPEC,1,0,0,1,0,1,0
C38,commensal,0,0,0,0,0,0,1
E04,EHEC,1,1,0,1,1,1,0
C16,commensal,0,0,0,0,0,0,1
C34,commensal,0,1,0,0,0,0,0
C44,commensal,0,1,0,0,0,0,0
U20,UPEC,1,0,0,1,1,1,0
C08,commensal,0,0,1,1,0,0,0
E15,EHEC,1,1,1,1,0,0,0
U22,UPEC,1,0,0,0,0,1,1
C43,commensal,0,0,0,0,0,0,0
C30,commensal,0,1,0,0,1,1,0
E07,EHEC,1,0,1,1,0,0,0
C02,commensal,0,0,0,0,0,0,0
E16,EHEC,1,1,1,0,0,0,0
E19,EHEC,1,0,0,1,0,0,1
C03,commensal,0,0,0,1,0,0,0
E22,EHEC,1,1,1,1,0,1,0
C23,commensal,0,0,0,0,0,0,0
C27,commensal,0,0,0,0,0,1,0
C15,commensal,0,0,1,0,0,0,0
C40,commensal,0,1,0,0,0,0,1
C45,commensal,0,0,0,0,1,0,0
C21,commensal,0,0,0,1,1,0,0
C39,commensal,0,0,0,0,0,0,1
U17,UPEC,1,0,0,1,1,1,0
C11,commensal,0,0,0,0,1,0,1
C42,commensal,0,0,0,0,0,0,1
U08,UPEC,1,0,0,0,1,1,1
C20,commensal,0,0,0,0,1,0,1
C22,commensal,0,0,0,0,0,0,1
C01,commensal,0,0,1,0,0,0,0
U06,UPEC,1,0,0,0,1,1,0
E12,EHEC,1,1,0,1,0,0,0
C04,commensal,0,0,0,1,0,0,1
C25,commensal,0,1,0,0,0,0,0
