sample_id,country,Bacteroides,Ruminococcus,Blautia,Prevotella,[Ruminococcus],Bifidobacterium,Parabacteroides,Faecalibacterium,Dialister,Dorea,Lachnospira,Oscillospira
USygt25.F.418747,USA,44.551,24.81,7.557,0.018,1.303,2.314,0.942,5.352,0.002,1.957,5.064,1.18
USygt27.M.418861,USA,19.562,27.034,18.345,0.012,3.89,0.152,2.428,2.663,0.005,2.383,6.906,2.468
USygt52.M.418736,USA,40.396,25.739,7.218,0.007,1.031,2.161,2.191,4.77,0.002,2.446,2.337,2.101
TS4.418810,USA,60.79,0.341,8.038,0.01,3.745,2.072,9.551,0.161,3.535,1.526,0.938,2.382
USygt11.F.418661,USA,3.7,2.571,8.548,48.186,0.713,1.831,1.624,6.786,7.705,1.877,1.235,0.616
h186M.1.418788,Malawi,0.472,5.224,2.95,50.764,0.56,0.015,0.149,4.277,6.651,0.686,1.259,2.853
USygt10.M.418687,USA,11.642,0.119,17.59,0.047,2.517,21.751,2.147,0.014,0.004,2.954,1.902,0.107
USygt18.M.418867,USA,30.394,17.118,7.862,0.003,0.8,18.544,2.76,1.073,5.288,1.266,1.357,1.732
F4T2pre4.418418,USA,60.433,2.83,10.22,0.011,4.073,0.006,0.004,7.305,3.295,0.834,0.006,2.76
USygt46.M.418453,USA,65.103,6.64,1.218,0.01,0.332,0.012,8.408,0.154,0.013,0.011,0.009,1.183
USygt32.M.418562,USA,8.792,5.013,7.612,41.078,2.271,5.607,1.81,1.44,0.007,1.557,0.541,0.443
USchp4Mom.418666,USA,40.774,0.175,20.286,0.008,6.62,4.273,4.673,0.036,0.003,6.413,0.299,0.338
USygt15.F.418688,USA,41.034,30.015,10.079,0.008,3.518,0.049,0.004,1.446,0.002,1.862,1.689,1.861
TS195.418848,USA,40.406,18.218,14.198,0.007,2.075,0.012,5.803,0.786,0.002,0.081,1.579,3.861
USygt53.F.418830,USA,56.944,6.305,4.767,0.008,3.121,1.109,5.132,0.043,0.001,2.251,0.572,5.092
USygt29.M.418603,USA,14.031,33.246,9.372,0.014,2.477,2.658,2.219,0.16,0.005,3.718,1.755,3.697
TS111.418684,USA,23.195,13.952,22.142,0.969,5.424,0.378,4.583,1.189,0.053,3.13,4.541,1.816
TS110.418428,USA,12.562,50.268,20.501,0.005,0.962,1.057,1.346,0.802,0.008,4.029,0.248,0.38
TS184.418577,USA,51.392,3.135,16.786,0.005,3.6,0.013,1.842,0.222,2.772,2.662,8.565,0.546
USygt8.F.418739,USA,15.519,32.386,12.068,0.097,6.283,0.817,2.611,1.842,0.005,5.119,1.884,1.758
h95M.1.418831,Malawi,0.242,6.349,2.798,38.544,0.76,0.045,0.024,1.934,6.332,0.296,0.299,0.836
USchp18Mom.418783,USA,17.018,1.884,15.848,0.117,2.096,28.138,1.165,1.103,0.009,2.675,0.408,0.457
USygt16.F.418383,USA,25.423,20.215,19.575,0.008,5.898,2.894,6.05,3.235,0.006,4.071,1.87,0.771
USygt46.F.418450,USA,11.016,6.507,10.663,41.129,3.201,1.415,4.076,3.225,0.002,1.256,2.579,1.318
USygt51.M.418844,USA,31.694,34.321,11.532,0.011,2.101,0.01,0.004,8.286,4.918,2.436,0.421,1.122
USygt42.F.418628,USA,26.621,25.331,7.933,0.008,4.17,0.013,0.35,2.621,0.001,3.736,1.082,2.857
USygt21.M.418797,USA,56.922,9.775,8.375,0.016,1.369,0.989,0.629,1.01,0.013,1.022,1.212,3.908
USygt31.M.418440,USA,33.707,12.882,5.531,0.01,1.597,2.998,16.697,0.255,3.401,0.381,2.32,2.662
USygt33.M.418638,USA,29.447,20.887,11.766,2.254,3.24,1.901,5.552,2.205,2.402,2.752,3.273,3.054
USchp36Mom.418718,USA,47.883,17.498,5.33,0.017,0.523,2.34,4.649,1.872,0.004,2.197,2.736,3.28
